CAREER,INTEREST AREAS,REQUIRED SKILLS,DEGREES,CERTIFICATIONS,TOOLS/TECHNOLOGIES,PROJECT EXAMPLES,ENTRY LEVEL JOB TITLE,HIGHER OPPORTUNITIES,TOP COMPANIES,LEARNING RESOURCES,ROADMAP,FIELD
Food Critic (Writes reviews about food and restaurants),"food, critic, journalism, review, media, communication, writing, culinary, taste, culture, food science, analysis, creativity, publishing, entertainment","Food writing, critique, communication skills",Bachelor? Journalism / English,No formal certification,"Writing software, blogs","Food Review, Recipe Writing","Junior Food Critic, Blogger","Senior Critic, Editor","Food Magazines, Media","MasterClass Food Writing, Coursera Writing",BA/Journalism/Culinary Arts --> Internship --> Food Critic --> Senior Critic --> Editor,Media & Journalism
Food Safety Inspector (Checks food for safety and quality),"food, safety, inspection, public health, regulation, biology, chemistry, quality control, sanitation, compliance, environment, health, food science, policy, testing","Food safety, hygiene, inspection procedures",Diploma / Degree Food Science / Public Health,Certified Food Safety Inspector,"Testing kits, inspection tools","Facility Inspection, Safety Report","Inspector Trainee, Assistant","Food Safety Inspector, Manager","FDA, Food Processing Firms","FDA Food Safety, Coursera Food Hygiene",BA/Food Science --> Internship --> Food Safety Inspector --> Senior Inspector --> Manager,Food Safety & Inspection
Forensic Accountant (Investigates financial crimes and fraud),"forensic, accounting, investigation, finance, auditing, law, fraud, analysis, data, compliance, business, reporting, ethics, criminal justice, audit","Accounting, investigation, financial analysis",Bachelor? Accounting / Finance,Certified Forensic Accountant (CFA),"Accounting software, forensic tools","Financial Fraud Analysis, Case Study","Junior Forensic Accountant, Assistant","Forensic Accountant, Consultant","Accounting Firms, Law Firms","AICPA Resources, Coursera Forensic Accounting",BA/Accounting/Forensics --> Internship --> Forensic Accountant --> Senior Accountant --> Manager,Finance & Accounting
Forensic Pathologist (Examines bodies to find causes of death),"forensic, pathology, medicine, investigation, biology, autopsy, death, crime, science, anatomy, healthcare, evidence, legal, clinical, diagnosis","Pathology, medical examination, diagnostics",Medical Degree + Residency,Pathology Board Certification,"Lab equipment, microscopes","Autopsy Report, Diagnostic Analysis","Medical Intern, Resident","Forensic Pathologist, Consultant","Hospitals, Medical Examiner Offices","AMA Resources, Coursera Pathology",Medical Degree + Pathology Training --> Residency --> Forensic Pathologist --> Senior Pathologist --> Consultant,Forensic Science
Forensic Psychologist (Studies criminal behavior and mental health),"forensic, psychology, mental health, crime, investigation, counseling, behavior, analysis, law, research, support, therapy, social science, justice, communication","Psychology, criminal behavior, assessment",Master? Psychology / Forensic Psychology,Licensed Psychologist,"Assessment tools, interview software","Mock Case Study, Report Writing","Trainee Psychologist, Intern","Forensic Psychologist, Consultant","Forensic Clinics, Law Enforcement","APA Resources, Coursera Forensic Psychology",BA/Psychology/Forensic Science --> Internship --> Forensic Psychologist --> Senior Psychologist --> Consultant,Forensic Psychology
Forensic Toxicologist (Tests for poisons and drugs in investigations),"forensic, toxicology, chemistry, biology, crime, investigation, substances, poisoning, analysis, laboratory, medicine, science, legal, health, environment","Toxicology, chemistry, lab techniques",Master? Chemistry / Toxicology,Licensed Toxicologist,"Lab equipment, chromatography","Substance Analysis, Toxicology Report","Lab Technician, Intern","Forensic Toxicologist, Specialist","Forensic Labs, Government Agencies","ACMT Resources, Coursera Toxicology",BSc/Chemistry/Toxicology --> Certification --> Forensic Toxicologist --> Senior Toxicologist --> Lab Director,Forensic Science
Franchise Owner (Runs a business branch under a larger brand),"franchise, ownership, business, management, marketing, sales, finance, operations, customer service, entrepreneurship, planning, leadership, retail, communication, strategy","Business management, franchise operations",Bachelor? Business / Management,No formal certification,"POS systems, CRM","Business Plan, Market Analysis","Franchise Assistant, Intern","Franchise Owner, Manager","Franchise Companies, Retailers","Franchise.org, Coursera Business Management",Business Training/Franchise Management --> Entry Role --> Franchise Owner --> Multi-unit Owner --> Regional Manager,Business Ownership
Freight Broker (Arranges shipping of goods between companies),"freight, broker, logistics, transportation, supply chain, business, negotiation, shipping, communication, coordination, management, finance, contracts, planning, operations","Logistics, negotiation, freight management",Bachelor? Logistics / Business,No formal certification,"Transportation management software, CRM","Shipment Tracking Project, Route Planning","Broker Assistant, Coordinator","Freight Broker, Logistics Manager","Shipping Companies, Freight Firms","CSCMP Resources, Coursera Logistics",BA/Logistics/Business --> Internship --> Freight Broker --> Senior Broker --> Manager,Logistics & Transportation
Fundraiser (Raises money for causes or organizations),"fundraising, nonprofit, communication, marketing, events, development, community, networking, donor, organization, planning, support, sales, leadership, charity","Fundraising, donor relations, event planning",Bachelor? Business / Nonprofit,No formal certification,"CRM, fundraising platforms","Event Campaign, Donor Database","Assistant Fundraiser, Intern","Fundraiser, Development Manager","NGOs, Charities","AFP Resources, Coursera Fundraising",BA/Communications/Nonprofit --> Internship --> Fundraiser --> Senior Fundraiser --> Director,Nonprofit & Fundraising
Furniture Restorer (Repairs and restores old furniture),"furniture, restoration, woodworking, craftsmanship, repair, art, tools, design, manual skills, antiques, refinishing, maintenance, creativity, preservation, carpentry","Woodworking, restoration, fine craftsmanship",Vocational Training / Apprenticeship,No formal certification,"Restoration tools, woodworking equipment","Furniture Repair Project, Refinishing","Furniture Restorer Apprentice, Assistant","Restorer, Workshop Manager","Antique Shops, Restoration Firms","YouTube Woodworking, Local Workshops",Vocational Training/Apprenticeship --> Entry Role --> Furniture Restorer --> Senior Restorer --> Studio Owner,Arts & Restoration
Gambling Manager (Oversees casino gaming operations),"gambling, management, casino, hospitality, customer service, operations, marketing, finance, business, entertainment, compliance, sales, leadership, event planning, security","Casino management, operations, compliance",Bachelor? Hospitality / Business,No formal certification,"Casino management systems, security tools","Casino Operation Plan, Staff Coordination","Casino Manager Trainee, Assistant","Casino Manager, Operations Director","Casinos, Hospitality Groups","American Gaming Association, Coursera Hospitality",BA/Business/Management --> Internship --> Gambling Manager --> Senior Manager --> Casino Director,Gaming & Hospitality
Game Tester (Plays games to find bugs and problems),"game, testing, software, quality assurance, programming, bugs, development, analysis, gaming, technology, communication, problem-solving, feedback, debugging, teamwork","Software testing, QA, bug tracking",Diploma / Degree Computer Science,ISTQB Certification,"Bug tracking tools, testing software","Test Case Design, Bug Reporting","QA Tester, Intern","Test Engineer, QA Lead","Tech Companies, Game Studios","Udemy Software Testing, Coursera QA",Certification/Game Testing --> Internship --> Game Tester --> QA Lead --> Game Producer,Technology
Genealogist (Researches family histories and ancestry),"genealogy, research, history, ancestry, documentation, family, records, archives, investigation, communication, culture, data, biology, social sciences, documentation","Research, genealogy, data analysis",Bachelor? History / Genealogy,No formal certification,"Database software, archives","Genealogy Tree, Research Report","Research Assistant, Intern","Genealogist, Historian","Research Firms, Archives","National Genealogical Society, Coursera Genealogy",BA/History/Genealogy --> Internship --> Genealogist --> Senior Genealogist --> Consultant,History & Genealogy
Geneticist (Studies genes and heredity),"genetics, biology, science, research, DNA, medicine, health, biotechnology, laboratory, molecular, analysis, heredity, biology, medicine, technology","Genetics, biology, research techniques",Master? Genetics / Biology,No formal certification,"Lab equipment, gene sequencing software","Genetic Analysis, Research Project","Research Assistant, Intern","Geneticist, Research Scientist","Research Labs, Universities","Genetics Society, Coursera Genetics",BSc/Biology/Genetics --> Internship --> Geneticist --> Senior Scientist --> Research Lead,Science
